"","ind","x_fb","w_fb","z_fbL","z_fbU"
"1",38,0,0,0,0
"2",58,0,-7e-05,-3e-05,-3e-05
"3",38,0.001,0.000377142857142857,-0.000716666666666667,0.0008225
"4",58,0.001,0.000605,-0.000763333333333334,0.000495
"5",38,0.002,0.000754285714285714,-0.00143333333333333,0.001645
"6",58,0.002,0.00128,-0.00149666666666667,0.00102
"7",38,0.003,0.00113142857142857,-0.00215,0.0024675
"8",58,0.003,0.0015375,-0.00223,0.001545
"9",38,0.004,0.00150857142857143,-0.00231166666666667,0.00329
"10",58,0.004,0.001795,-0.002445,0.00207
"11",38,0.005,0.00188571428571429,-0.00247333333333333,0.003742
"12",58,0.005,0.0020525,-0.00266,0.00231
"13",38,0.006,0.00226285714285714,-0.002635,0.004194
"14",58,0.006,0.00231,-0.002875,0.00255
"15",38,0.007,0.00264,-0.00279666666666667,0.004646
"16",58,0.007,0.00238,-0.00309,0.00279
"17",38,0.008,0.00278125,-0.00295833333333333,0.005098
"18",58,0.008,0.00245,-0.003515,0.00303
"19",38,0.009,0.0029225,-0.00312,0.00555
"20",58,0.009,0.00252,-0.00394,0.00327
"21",38,0.01,0.00306375,-0.00338,0.0056975
"22",58,0.01,0.00259,-0.004072,0.003394
"23",38,0.011,0.003205,-0.00364,0.005845
"24",58,0.011,0.00266,-0.004204,0.003518
"25",38,0.012,0.00334625,-0.0039,0.0059925
"26",58,0.012,0.002685,-0.004336,0.003642
"27",38,0.013,0.0034875,-0.00416,0.00614
"28",58,0.013,0.00271,-0.004468,0.003766
"29",38,0.014,0.00362875,-0.00442,0.0062875
"30",58,0.014,0.002735,-0.0046,0.00389
"31",38,0.015,0.00377,-0.00468,0.006435
"32",58,0.015,0.00276,-0.00471,0.00386833333333333
"33",38,0.016,0.00375444444444444,-0.00478,0.0065825
"34",58,0.016,0.0026325,-0.00482,0.00384666666666667
"35",38,0.017,0.00373888888888889,-0.00488,0.00673
"36",58,0.017,0.002505,-0.00493,0.003825
"37",38,0.018,0.00372333333333333,-0.00498,0.00679555555555556
"38",58,0.018,0.0023775,-0.00504,0.00380333333333333
"39",38,0.019,0.00370777777777778,-0.00508,0.00686111111111111
"40",58,0.019,0.00225,-0.00515,0.00378166666666667
"41",38,0.02,0.00369222222222222,-0.00518,0.00692666666666667
"42",58,0.02,0.0021025,-0.00510333333333333,0.00376
"43",38,0.021,0.00367666666666667,-0.00528,0.00699222222222222
"44",58,0.021,0.001955,-0.00505666666666667,0.0035775
"45",38,0.022,0.00366111111111111,-0.00538,0.00705777777777778
"46",58,0.022,0.0018075,-0.00501,0.003395
"47",38,0.023,0.00364555555555556,-0.00548,0.00712333333333333
"48",58,0.023,0.00166,-0.00477,0.0032125
"49",38,0.024,0.00363,-0.00545375,0.00718888888888889
"50",58,0.024,0.001635,-0.00453,0.00303
"51",38,0.025,0.003595,-0.0054275,0.00725444444444444
"52",58,0.025,0.00161,-0.00429,0.002784
"53",38,0.026,0.00356,-0.00540125,0.00732
"54",58,0.026,0.001585,-0.00405,0.002538
"55",38,0.027,0.003525,-0.005375,0.00729375
"56",58,0.027,0.00156,-0.00368,0.002292
"57",38,0.028,0.00349,-0.00534875,0.0072675
"58",58,0.028,0.00145666666666667,-0.00331,0.002046
"59",38,0.029,0.003455,-0.0053225,0.00724125
"60",58,0.029,0.00135333333333333,-0.00294,0.0018
"61",38,0.03,0.00342,-0.00529625,0.007215
"62",58,0.03,0.00125,-0.00257,0.0016875
"63",38,0.031,0.003385,-0.00527,0.00718875
"64",58,0.031,0.00111,-0.00206666666666667,0.001575
"65",38,0.032,0.00335,-0.00513222222222222,0.0071625
"66",58,0.032,0.00097,-0.00156333333333333,0.0014625
"67",38,0.033,0.00324857142857143,-0.00499444444444444,0.00713625
"68",58,0.033,0.000829999999999999,-0.00106,0.00135
"69",38,0.034,0.00314714285714286,-0.00485666666666667,0.00711
"70",58,0.034,0.000566666666666666,-0.000749999999999999,0.00139666666666667
"71",38,0.035,0.00304571428571429,-0.00471888888888889,0.00705
"72",58,0.035,0.000303333333333333,-0.00044,0.00144333333333333
"73",38,0.036,0.00294428571428571,-0.00458111111111111,0.00699
"74",58,0.036,4e-05,-0.00013,0.00149
"75",38,0.037,0.00284285714285714,-0.00444333333333333,0.00693
"77",38,0.038,0.00274142857142857,-0.00430555555555556,0.00687
"79",38,0.039,0.00264,-0.00416777777777778,0.00681
"81",38,0.04,0.00256857142857143,-0.00403,0.00675
"82",38,0.041,0.00249714285714286,-0.00369,0.00669
"83",38,0.042,0.00242571428571429,-0.00335,0.00663
"84",38,0.043,0.00235428571428571,-0.00301,0.00657
"85",38,0.044,0.00228285714285714,-0.00267,0.00637857142857143
"86",38,0.045,0.00221142857142857,-0.00233,0.00618714285714286
"87",38,0.046,0.00214,-0.00199,0.00599571428571428
"88",38,0.047,0.00199714285714286,-0.001732,0.00580428571428571
"89",38,0.048,0.00185428571428571,-0.001474,0.00561285714285714
"90",38,0.049,0.00171142857142857,-0.001216,0.00542142857142857
"91",38,0.05,0.00156857142857143,-0.000958,0.00523
"92",38,0.051,0.00142571428571428,-0.000700000000000001,0.00448285714285714
"93",38,0.052,0.00128285714285714,-0.000583333333333334,0.00373571428571428
"94",38,0.053,0.00114,-0.000466666666666666,0.00298857142857142
"95",38,0.054,0.000997499999999999,-0.00035,0.00224142857142857
"96",38,0.055,0.000855,-0.000233333333333334,0.00149428571428572
"97",38,0.056,0.000712499999999999,-0.000116666666666666,0.000747142857142855
"98",38,0.057,0.000569999999999999,0,0
