"","ind","x_sb","w_sb","z_sbL","z_sbU"
"2",58,0.015,0.00094,0.00042,0.00125
"3",58,0.016,0.00119,-0.000364999999999999,0.00121
"4",58,0.017,0.00144,-0.0006575,0.00097
"5",58,0.018,0.00135,-0.00095,0.00059
"6",58,0.019,0.00126,-0.00102,-0.000215
"12",38,0.023,0,0.00142333333333333,0.0034075
"13",38,0.024,0.00235,0.00140666666666667,0.003435
"14",38,0.025,0.00251666666666667,0.00139,0.0034625
"15",38,0.026,0.00268333333333333,0.00122666666666667,0.00349
"16",38,0.027,0.00285,0.00106333333333333,0.00334
"17",38,0.028,0.00285,9e-04,0.00319
"18",38,0.029,0.00285,0.00042,0.00304
"19",38,0.03,0.00285,-6e-05,0.00289
"20",38,0.031,0.00249333333333333,1.00000000000001e-05,0.00265
"21",38,0.032,0.00213666666666667,8.00000000000002e-05,0.00241
"22",38,0.033,0.00178,0.00015,0.00217
"23",38,0.034,0.000569999999999999,0.000366666666666668,0.00193
