BX,BY,asp1
31.156,28.114,Dorsal_bladder
30.086,27.88,Dorsal_bladder
28.448,27.579,Dorsal_bladder
26.944,27.579,Dorsal_bladder
25.506,27.579,Dorsal_bladder
24.838,27.579,Dorsal_bladder
24.169,27.612,Dorsal_bladder
23.266,27.646,Dorsal_bladder
22.665,27.612,Dorsal_bladder
21.996,27.545,Dorsal_bladder
20.559,27.445,Dorsal_bladder
19.522,27.478,Dorsal_bladder
18.954,27.579,Dorsal_bladder
18.453,27.679,Dorsal_bladder
18.118,27.913,Dorsal_bladder
17.617,28.18,Dorsal_bladder
17.951,28.682,Dorsal_bladder
18.486,29.05,Dorsal_bladder
19.088,29.25,Dorsal_bladder
19.857,29.15,Dorsal_bladder
20.759,29.15,Dorsal_bladder
22.063,29.25,Dorsal_bladder
23.133,29.284,Dorsal_bladder
24.904,29.15,Dorsal_bladder
26.141,28.916,Dorsal_bladder
26.91,28.816,Dorsal_bladder
28.414,28.515,Dorsal_bladder
29.384,28.314,Dorsal_bladder
30.487,28.281,Dorsal_bladder
30.922,28.214,Dorsal_bladder
42.588,28.281,Dorsal_body
42.187,28.013,Dorsal_body
41.953,27.712,Dorsal_body
41.218,27.512,Dorsal_body
40.081,27.178,Dorsal_body
38.978,26.944,Dorsal_body
37.741,26.71,Dorsal_body
35.769,26.509,Dorsal_body
33.763,26.308,Dorsal_body
32.292,26.275,Dorsal_body
30.989,26.208,Dorsal_body
29.317,26.141,Dorsal_body
27.144,26.108,Dorsal_body
24.871,26.175,Dorsal_body
21.227,26.108,Dorsal_body
19.489,26.041,Dorsal_body
17.316,26.041,Dorsal_body
16.648,26.041,Dorsal_body
14.943,26.074,Dorsal_body
13.706,25.974,Dorsal_body
13.004,26.342,Dorsal_body
11.332,26.743,Dorsal_body
10.396,27.044,Dorsal_body
9.928,27.579,Dorsal_body
10.129,28.314,Dorsal_body
11.232,29.25,Dorsal_body
12.636,29.584,Dorsal_body
13.739,30.019,Dorsal_body
14.608,30.119,Dorsal_body
16.046,30.253,Dorsal_body
18.787,30.621,Dorsal_body
20.626,30.688,Dorsal_body
22.732,30.587,Dorsal_body
24.838,30.387,Dorsal_body
27.278,30.052,Dorsal_body
29.618,29.618,Dorsal_body
32.292,29.217,Dorsal_body
35.067,28.816,Dorsal_body
36.905,28.548,Dorsal_body
38.176,28.448,Dorsal_body
40.048,28.381,Dorsal_body
41.619,28.548,Dorsal_body
42.488,28.715,Dorsal_body
39.134,36.382,Lateral_bladder
38.499,36.237,Lateral_bladder
37.763,36.192,Lateral_bladder
36.326,36.047,Lateral_bladder
34.643,35.847,Lateral_bladder
32.838,35.624,Lateral_bladder
31.601,35.435,Lateral_bladder
30.454,35.379,Lateral_bladder
29.228,35.345,Lateral_bladder
28.214,35.39,Lateral_bladder
27.356,35.49,Lateral_bladder
26.576,35.646,Lateral_bladder
26.331,35.791,Lateral_bladder
26.041,35.891,Lateral_bladder
25.896,36.092,Lateral_bladder
26.442,36.337,Lateral_bladder
27.111,36.582,Lateral_bladder
27.668,36.671,Lateral_bladder
29.094,36.738,Lateral_bladder
29.852,36.716,Lateral_bladder
30.788,36.805,Lateral_bladder
31.379,36.861,Lateral_bladder
31.913,37.05,Lateral_bladder
32.359,37.006,Lateral_bladder
32.972,37.084,Lateral_bladder
33.752,37.117,Lateral_bladder
34.409,37.006,Lateral_bladder
35.111,37.028,Lateral_bladder
35.702,37.128,Lateral_bladder
36.092,37.05,Lateral_bladder
36.449,36.894,Lateral_bladder
36.872,36.816,Lateral_bladder
37.385,36.761,Lateral_bladder
37.897,36.683,Lateral_bladder
38.499,36.649,Lateral_bladder
38.922,36.515,Lateral_bladder
49.943,36.671,Lateral_body
49.675,36.159,Lateral_body
48.873,35.78,Lateral_body
48.249,35.646,Lateral_body
47.58,35.669,Lateral_body
47.023,35.691,Lateral_body
45.953,35.557,Lateral_body
45.196,35.446,Lateral_body
41.585,34.086,Lateral_body
39.669,33.73,Lateral_body
36.437,32.883,Lateral_body
34.877,32.549,Lateral_body
33.83,32.259,Lateral_body
32.292,32.281,Lateral_body
30.844,32.303,Lateral_body
28.726,32.37,Lateral_body
27.1,32.749,Lateral_body
26.542,32.883,Lateral_body
25.339,33.329,Lateral_body
23.957,33.997,Lateral_body
22.174,34.822,Lateral_body
20.213,35.869,Lateral_body
19.3,36.426,Lateral_body
19.099,36.538,Lateral_body
17.784,37.362,Lateral_body
17.338,37.83,Lateral_body
17.383,38.566,Lateral_body
19.099,39.212,Lateral_body
23.4,39.591,Lateral_body
25.517,39.68,Lateral_body
30.331,39.457,Lateral_body
34.097,39.257,Lateral_body
38.532,38.766,Lateral_body
40.516,38.321,Lateral_body
41.496,38.477,Lateral_body
44.416,38.075,Lateral_body
45.552,37.674,Lateral_body
46.934,37.786,Lateral_body
47.402,37.652,Lateral_body
48.494,37.674,Lateral_body
49.831,37.05,Lateral_body
