BX,BY,asp1
322.375,310.75,Dorsal_bladder
318.875,310.125,Dorsal_bladder
311.75,309.25,Dorsal_bladder
302,307.125,Dorsal_bladder
297.375,305.75,Dorsal_bladder
292.125,304.5,Dorsal_bladder
288.125,303,Dorsal_bladder
284.875,302.125,Dorsal_bladder
280.125,301.625,Dorsal_bladder
277.875,301.5,Dorsal_bladder
275.875,301.25,Dorsal_bladder
273.375,301.25,Dorsal_bladder
270.25,301.5,Dorsal_bladder
266.875,301.875,Dorsal_bladder
261.625,301.375,Dorsal_bladder
258.625,301,Dorsal_bladder
257.625,301,Dorsal_bladder
254.25,301,Dorsal_bladder
248.5,301.5,Dorsal_bladder
246.125,301.875,Dorsal_bladder
242.75,302.5,Dorsal_bladder
241.125,302.625,Dorsal_bladder
237.375,303.5,Dorsal_bladder
235.625,303.625,Dorsal_bladder
231.875,303.375,Dorsal_bladder
229.375,303.375,Dorsal_bladder
226.5,303.5,Dorsal_bladder
220.875,304.5,Dorsal_bladder
217.75,305.125,Dorsal_bladder
215.75,305.5,Dorsal_bladder
214.125,305.25,Dorsal_bladder
212,305,Dorsal_bladder
211.625,305.75,Dorsal_bladder
212.25,307.25,Dorsal_bladder
209.875,307.75,Dorsal_bladder
208.125,307.75,Dorsal_bladder
206.5,308.375,Dorsal_bladder
205.625,309.5,Dorsal_bladder
205.375,311.25,Dorsal_bladder
207.625,313.75,Dorsal_bladder
209.625,314.25,Dorsal_bladder
213.125,314.625,Dorsal_bladder
216,314.125,Dorsal_bladder
216.25,315.25,Dorsal_bladder
215.625,315.875,Dorsal_bladder
214.375,316.625,Dorsal_bladder
214.25,317.75,Dorsal_bladder
216.375,317.875,Dorsal_bladder
217.875,318,Dorsal_bladder
221.375,318.25,Dorsal_bladder
224.375,318.25,Dorsal_bladder
226.375,318.5,Dorsal_bladder
229.875,318.125,Dorsal_bladder
233.625,318.125,Dorsal_bladder
237.25,318.125,Dorsal_bladder
239.125,318,Dorsal_bladder
242.125,318,Dorsal_bladder
243.625,318,Dorsal_bladder
245.75,317.875,Dorsal_bladder
247.375,318,Dorsal_bladder
250.375,318.25,Dorsal_bladder
253,318.25,Dorsal_bladder
255.125,318.375,Dorsal_bladder
257.625,318.625,Dorsal_bladder
260.75,319.375,Dorsal_bladder
264.375,319.75,Dorsal_bladder
267.5,319.75,Dorsal_bladder
270.75,319.875,Dorsal_bladder
274,319.5,Dorsal_bladder
278.125,319.25,Dorsal_bladder
281.875,318.75,Dorsal_bladder
285.625,317.875,Dorsal_bladder
288.875,317.625,Dorsal_bladder
292,317.375,Dorsal_bladder
293.875,316.875,Dorsal_bladder
296.875,316,Dorsal_bladder
298.625,315.5,Dorsal_bladder
300.875,315.25,Dorsal_bladder
303.875,313.875,Dorsal_bladder
306.25,312.875,Dorsal_bladder
309.875,312.875,Dorsal_bladder
313.25,312.5,Dorsal_bladder
317.25,312.625,Dorsal_bladder
321.375,312,Dorsal_bladder
322,311.25,Dorsal_bladder
439.75,314.5,Dorsal_body
435.5,311.75,Dorsal_body
425.75,307.5,Dorsal_body
418,305.75,Dorsal_body
409.875,303.625,Dorsal_body
405.5,303.125,Dorsal_body
395.875,302.125,Dorsal_body
377.125,299.625,Dorsal_body
364.5,298.5,Dorsal_body
350.5,297,Dorsal_body
335.875,295.625,Dorsal_body
325,294.5,Dorsal_body
312.875,293.5,Dorsal_body
302.625,292.625,Dorsal_body
290.875,291.625,Dorsal_body
282.375,291,Dorsal_body
272.875,290,Dorsal_body
266.375,289.5,Dorsal_body
259.25,289.5,Dorsal_body
251.875,289.75,Dorsal_body
242.875,290.5,Dorsal_body
239.375,291.125,Dorsal_body
231.375,291.5,Dorsal_body
227.375,291.625,Dorsal_body
223.125,292.5,Dorsal_body
220.625,292,Dorsal_body
219.25,291.25,Dorsal_body
215.125,291.25,Dorsal_body
208.625,291.875,Dorsal_body
204.25,292.375,Dorsal_body
197.375,292.5,Dorsal_body
190.5,292.625,Dorsal_body
182.75,293,Dorsal_body
181.875,292.25,Dorsal_body
179.375,291.375,Dorsal_body
175.875,290.875,Dorsal_body
170.875,291.75,Dorsal_body
167.875,293.25,Dorsal_body
167.625,294.25,Dorsal_body
166.125,294.75,Dorsal_body
159.25,296,Dorsal_body
152.25,298,Dorsal_body
147.875,299,Dorsal_body
145.125,299.625,Dorsal_body
140.375,301.875,Dorsal_body
138,303.625,Dorsal_body
136,305.75,Dorsal_body
134.875,308.25,Dorsal_body
135.75,311,Dorsal_body
138.625,314.125,Dorsal_body
141.375,316.125,Dorsal_body
144.375,317.5,Dorsal_body
149.125,319.125,Dorsal_body
154.125,321,Dorsal_body
163.875,323.875,Dorsal_body
166.625,326.5,Dorsal_body
171.25,329.125,Dorsal_body
176.625,329.625,Dorsal_body
180.125,329,Dorsal_body
181.625,328,Dorsal_body
184.375,328.625,Dorsal_body
189.5,329.375,Dorsal_body
196.375,329.375,Dorsal_body
208.375,329.375,Dorsal_body
218.625,330,Dorsal_body
223.375,330.125,Dorsal_body
228.125,330,Dorsal_body
235.375,330.25,Dorsal_body
242.125,330.375,Dorsal_body
251.75,330.625,Dorsal_body
259.25,330.625,Dorsal_body
266.625,330.625,Dorsal_body
273.25,330.375,Dorsal_body
279,329.875,Dorsal_body
285.625,329.375,Dorsal_body
290.875,329.125,Dorsal_body
296.5,328.625,Dorsal_body
300.75,328.125,Dorsal_body
303.375,328.125,Dorsal_body
308.75,327.5,Dorsal_body
315.125,327,Dorsal_body
318.375,326.75,Dorsal_body
321.625,326.25,Dorsal_body
326.25,325.75,Dorsal_body
334.25,324.625,Dorsal_body
345.125,323.125,Dorsal_body
352.375,322.25,Dorsal_body
359.75,321.25,Dorsal_body
361.5,321,Dorsal_body
363.375,320.875,Dorsal_body
367,320.25,Dorsal_body
373.875,319.375,Dorsal_body
380.5,318.5,Dorsal_body
386.5,318,Dorsal_body
